time,DO.obs,Chl_a,fDOM,temperature,pCO2,sal,tide,Atemp,Rel_Hum,Sol_Rad,bloomstatus
25/01/2020 0:00,6.94,2.5884,18.0704,24.53404,607,35.8633704,0.95,19.5,80.2,0,0
25/01/2020 1:00,6.78,2.4012,18.0104,24.48468,647,35.88900394,0.89,19,82.9,0,0
25/01/2020 2:00,6.55,2.0956,17.8952,24.48908,690,35.87981745,0.82,18.7,83.1,0,0
25/01/2020 3:00,6.47,2.0736,17.8204,24.47,643,35.87016918,0.75,18.4,84,0,0
25/01/2020 4:00,6.27,2.134,17.476,24.42396,649,35.87507255,0.67,17.9,83.6,0,0
25/01/2020 5:00,6.12,2.2092,17.2656,24.3552,694,35.87084115,0.59,18,81.6,0,0
25/01/2020 6:00,6.3,2.2792,17.634,24.2986,713,35.85697993,0.51,18.1,81.4,7.3611,0
25/01/2020 7:00,6.38,2.512,18.5288,24.28184,663,35.8429978,0.45,20.1,73.4,134,0
25/01/2020 8:00,6.55,2.7684,19.2548,24.3774,689,35.7825293,0.4,22.5,63.9,387.6111,0
25/01/2020 9:00,6.7,2.56,19.1888,24.48652,609,35.74544449,0.37,25,55.2,631.8333,0
25/01/2020 10:00,6.71,2.172,18.7792,24.65748,571,35.95522999,0.38,27.6,46.4,840.7222,0
25/01/2020 11:00,6.95,2.0488,18.5184,24.94992,553,35.73514152,0.43,29.8,40,1002.9722,0
25/01/2020 12:00,6.95,2.2004,18.306,25.10888,566,35.9179054,0.48,29.3,47.3,1097.3611,0
25/01/2020 13:00,7.09,2.388,18.2756,25.21476,535,35.92826156,0.52,29.3,49.6,1127.3056,0
25/01/2020 14:00,7.35,2.5244,18.2828,25.43168,506,35.85153405,0.55,30.2,45.3,1095.5,0
25/01/2020 15:00,7.33,2.8404,18.356,25.42212,507,35.9351167,0.59,30.5,43.1,990.8889,0
25/01/2020 16:00,7.43,3.3784,18.884,25.28572,489,35.90351645,0.63,29,44.6,828.5,0
25/01/2020 17:00,7.36,3.59,19.0276,25.22964,496,35.91746056,0.67,28.3,48.7,607.9444,0
25/01/2020 18:00,7.32,3.4628,18.8824,25.1632,551,35.90842989,0.72,27.8,51.5,354.2222,0
25/01/2020 19:00,7.27,3.4132,19.018,25.12816,508,35.90228688,0.77,26.6,54.5,124.4444,0
25/01/2020 20:00,7.21,3.4172,19.458,25.11524,530,35.92751833,0.83,24.3,66.4,2.5278,0
25/01/2020 21:00,7.24,3.2324,19.2864,25.1798,514,35.94574329,0.89,23.3,73.3,0,0
25/01/2020 22:00,6.93,3.1352,18.8316,25.23724,499,35.87671198,0.93,22.8,77.4,0,0
25/01/2020 23:00,6.47,3.3072,18.9612,25.17752,632,35.93569954,0.97,22.3,78.7,0,0
26/01/2020 0:00,6.86,3.6228,19.4792,25.18924,740,35.8953018,0.98,22,79.7,0,0
26/01/2020 1:00,6.76,3.692,19.694,25.2434,649,35.87627545,0.94,21.7,80.2,0,0
26/01/2020 2:00,6.5,3.54,19.4844,25.19264,727,35.89419705,0.88,21,80.9,0,0
26/01/2020 3:00,6.36,3.0864,19.4448,25.10872,835,35.89698165,0.81,21.2,75.9,0,0
26/01/2020 4:00,6.21,2.8176,19.6412,24.99316,795,35.91340241,0.73,22.4,63.1,0,0
26/01/2020 5:00,5.87,3.0172,19.97,24.93772,860,35.91670008,0.65,22.6,59.1,0,0
26/01/2020 6:00,6.09,3.5276,20.7212,24.90672,771,35.87822671,0.58,22.2,59.8,7.8611,0
26/01/2020 7:00,6.17,3.4312,21.0232,24.86412,697,35.85312705,0.51,22.4,59.7,142.2778,0
26/01/2020 8:00,6.32,2.998,21.0148,24.93392,676,35.84094258,0.46,23.9,55,382.3333,0
26/01/2020 9:00,6.54,2.724,21.0604,25.03836,652,35.7872155,0.43,25.9,49.9,620,0
26/01/2020 10:00,6.7,2.502,20.7284,25.08824,657,35.89492603,0.42,28.1,44.3,838.8889,0
26/01/2020 11:00,6.81,2.5004,20.0488,25.28052,626,35.9276813,0.46,30.7,38.4,1003.6667,0
26/01/2020 12:00,7.13,3.036,18.9672,25.83428,550,35.75125777,0.51,32.6,34.2,1065.6111,0
26/01/2020 13:00,6.89,3.2572,18.598,25.98092,543,36.03396829,0.55,32.9,38.9,1031.1111,0
26/01/2020 14:00,7.33,3.2888,18.6392,25.86152,559,35.91852661,0.59,33.2,41.5,1076.5278,0
26/01/2020 15:00,7.34,3.818,18.7304,26.04672,510,35.90864435,0.62,33.1,40.6,976.6944,0
26/01/2020 16:00,7.47,4.2704,18.8436,26.04292,499,35.88942284,0.64,31.2,42.2,813.1389,0
26/01/2020 17:00,7.36,4.8236,18.5172,25.95708,524,35.9265362,0.68,31.1,41.7,582.0278,0
26/01/2020 18:00,7.32,4.8732,17.408,25.84572,561,35.89913204,0.71,29.9,45.9,278.0278,0
26/01/2020 19:00,7.16,4.8124,16.9144,25.75132,593,35.89285592,0.76,30.1,44.3,132.3889,0
26/01/2020 20:00,7.03,4.9044,19.9576,25.68112,589,35.88306188,0.81,28.1,50.7,3.4444,0
26/01/2020 21:00,7.08,5.9168,22.2484,25.59772,579,35.89133354,0.86,27,52.5,0,0
26/01/2020 22:00,6.93,6.2024,21.524,25.51828,555,35.8967732,0.91,26.7,49.4,0,0
26/01/2020 23:00,6.91,5.5656,21.2828,25.4736,588,35.91256143,0.96,25.7,52.5,0,0
27/01/2020 0:00,6.51,4.6504,21.2068,25.50188,646,35.92563984,0.98,24.5,56.6,0,0
27/01/2020 1:00,5.91,3.958,21.4184,25.55156,730,35.9459473,0.98,23.8,58.3,0,1
27/01/2020 2:00,6.62,4.1116,21.5384,25.55536,672,35.88577503,0.92,26.8,46.6,0,1
27/01/2020 3:00,6.16,4.352,20.8996,25.53512,732,35.91933251,0.86,27.3,46.2,0,1
27/01/2020 4:00,6.2,4.5272,20.8444,25.47132,748,35.90735412,0.78,26.3,45.8,0,1
27/01/2020 5:00,6.22,4.3956,20.736,25.4136,727,35.90455221,0.71,25,46.4,0,1
27/01/2020 6:00,6.03,3.9208,20.5808,25.36336,772,35.90474673,0.64,24.4,44.2,7.7778,1
27/01/2020 7:00,5.89,3.6296,21.0564,25.33532,781,35.89762191,0.58,25.7,41.9,143.9722,1
27/01/2020 8:00,6.14,4.5408,19.9864,25.43968,743,35.87728519,0.53,27.9,38.3,368,1
27/01/2020 9:00,6.21,6.0704,18.3348,25.61392,688,35.78680528,0.49,30.3,32.4,583.7778,1
27/01/2020 10:00,6.25,7.382,15.9828,25.6554,675,35.83076081,0.48,32.8,29.4,758.3056,1
27/01/2020 11:00,6.49,8.7872,13.6144,25.98336,642,35.82470168,0.53,35.4,24.8,929.5556,1
27/01/2020 12:00,6.75,8.2128,12.6196,26.44556,644,35.85220886,0.57,36.9,24.2,1046.5278,1
27/01/2020 13:00,7.06,6.4728,11.89,26.66636,614,35.89457962,0.61,35.9,31.7,1125.5833,1
27/01/2020 14:00,7.33,6.5584,11.3708,26.87192,562,35.91801747,0.65,37,27.9,1089.2778,1
27/01/2020 15:00,7.53,14.8876,11.7548,26.92908,582,35.82076448,0.67,37.9,25.1,987.3333,1
27/01/2020 16:00,7.35,21.2624,12.4472,26.8598,596,35.96255491,0.69,37.6,24.1,825.1111,1
27/01/2020 17:00,7.31,26.8204,13.4488,26.6882,548,35.93016471,0.71,37.3,23.7,615.1389,1
27/01/2020 18:00,7.18,22.5168,14.004,26.49544,573,35.90467016,0.74,35.3,25.3,363.75,1
27/01/2020 19:00,7.07,13.3644,13.7524,26.36096,631,35.89511852,0.77,33.6,29.1,123.2222,1
27/01/2020 20:00,6.78,7.6204,14.0692,26.294,679,35.86195075,0.83,30.8,36.2,2.25,1
27/01/2020 21:00,6.54,5.306,13.432,26.28308,731,35.84866683,0.88,28.5,45.2,0,1
27/01/2020 22:00,5.9,6.4888,11.3032,26.29,838,35.84467321,0.93,27,48.6,0,1
27/01/2020 23:00,5.73,6.2472,9.966,26.29324,902,35.88511149,0.97,26.6,48.1,0,1
28/01/2020 0:00,5.55,2.7836,11.4332,26.30844,849,35.8527961,1,25.5,51.4,0,1
28/01/2020 1:00,5.73,3.0044,13.438,26.28412,993,35.88767613,1.01,24.6,52.4,0,1
28/01/2020 2:00,6.27,3.1508,13.4816,26.281,900,35.8791242,0.96,23.6,55.1,0,1
28/01/2020 3:00,5.96,2.7464,12.6972,26.33584,953,35.86829282,0.92,22.7,59,0.0556,1
28/01/2020 4:00,5.68,3.0316,12.424,26.29052,999,35.84057649,0.85,23.7,55.9,0,1
28/01/2020 5:00,5.41,2.6972,11.706,26.18808,999,35.84697369,0.78,24.2,52.7,0,1
28/01/2020 6:00,4.75,2.072,11.7528,26.11144,999,35.70134398,0.72,24,54.1,7.1667,1
28/01/2020 7:00,4.96,2.1484,12.342,26.08048,999,35.55692461,0.67,25.2,53.7,134.6944,1
28/01/2020 8:00,5.76,2.2476,13.536,26.1996,876,35.654411,0.61,28,44.6,365.6667,1
28/01/2020 9:00,6.26,2.4888,15.5052,26.44528,836,35.71983821,0.6,30.2,38.9,601.8611,1
28/01/2020 10:00,6.54,3.0128,16.6572,26.76692,806,35.7449044,0.59,31.7,35.9,816.6389,1
28/01/2020 11:00,6.57,5.0884,17.8748,27.02704,666,35.71960464,0.62,33.4,33.7,976.1667,1
28/01/2020 12:00,7.15,8.6024,17.7416,27.09972,581,35.77052745,0.69,33.2,36.7,1074.3056,1
28/01/2020 13:00,7.11,9.3036,17.1368,27.0878,532,35.86428133,0.72,32.9,33.3,1106.75,1
28/01/2020 14:00,7.16,8.114,17.5008,27.03564,556,35.79302504,0.76,32.5,31.5,1072.0278,1
28/01/2020 15:00,7.22,8.0416,17.2288,26.99612,583,35.78668035,0.8,31.9,34.9,965.7778,1
28/01/2020 16:00,7.23,8.086,16.3556,26.98644,539,35.77006698,0.8,30.2,38.8,805.5278,1
28/01/2020 17:00,7.22,8.7476,16.9672,26.94364,559,35.75618039,0.79,28.8,43,590.6111,1
28/01/2020 18:00,7.15,8.9804,17.6332,26.88296,570,35.74071019,0.81,27.4,47.4,345.25,1
28/01/2020 19:00,7.11,9.5688,17.2904,26.84488,566,35.69369566,0.83,25.3,58.2,113.0278,1
28/01/2020 20:00,7.08,10.476,17.6848,26.78228,587,35.68208947,0.87,22.9,72,2.8056,1
28/01/2020 21:00,6.93,10.468,17.7384,26.68208,557,35.69230981,0.93,22,79.8,0,1
28/01/2020 22:00,6.61,9.7632,17.8412,26.64284,594,35.67426838,0.96,21.3,83.4,0,1
28/01/2020 23:00,6.48,8.28,17.942,26.59616,641,35.70261614,1.01,21,83.1,0,1